Abstract,Task 1
"In the current work, a metric map merging approach based on environmental information is proposed, in conjunction with spatially scattered RFID tags localization.",OBJECTIVES/METHODS
"However, these requirements might become impossible to meet later on, due to link or node failures, or excessive degradation of their performance.",BACKGROUND
Dynamic testing techniques enhance the ability of detection and elimination of design flaws right at the inception phase and thereby reduce the cost and time of rework.,METHODS
Performance figures of the proposed estimation method are promising and better than those of other regular ABE models,CONCLUSIONS
"Contracts can be created easily by anyone with a dataset, even programmatically by software agents.",CONCLUSIONS
"In this paper, we present CrySL, a definition language that enables cryptography experts to specify the secure usage of the cryptographic libraries that they provide.",OBJECTIVES
One key component of our simulator is the ability to learn an optimized driving skill model from the driving data of expert drivers.,METHODS
"For that we add temporal logic operators to a set of new ScalaCheck generators and properties, as part of our testing library sscheck.",METHODS
We propose a measure and a metric on the sets of infinite traces generated by a set of atomic propositions.,RESULTS
"We investigate how to combine different modalities efficiently in the CNN framework.We adapt various fusion methods, which are previously employed on video recognition problem, to the brain tumor segmentation problem,and we investigate their efficiency in terms of memory and performance.Our experiments, which are performed on BRATS dataset, lead us to the conclusion that learning separate representations for each modality and combining them for brain tumor segmentation could increase the performance of CNN systems.",METHODS/RESULTS
"The proposed framework is general enough to be applicable also to other distribution networks, such as water and gas networks.",CONCLUSIONS
We find such behavior persists even when we restrict the flows to constant-volume transformations.,METHODS
This approach provides a better performance of embedded systems for fault diagnosis based on characteristic of amplitude signal modulation.,CONCLUSIONS
"G2D and its source code are publicly available at    In addition, we demonstrate an application of G2D to generate a large-scale dataset with groundtruth camera poses for testing structure-from-motion (SfM) algorithms.",RESULTS
Our approximation includes an error bound that is based on the input-to-state stability property of contractive systems.,RESULTS
This period includes three bubbles experienced by the Bitcoin price.,BACKGROUND
We then consider the second question:   How do we find clusters and good partitions of clusters under such a definition?,BACKGROUND/OBJECTIVES
"In this paper, we propose a mechanism for packet marking called Probabilistic Congestion Notification (PCN).",BACKGROUND
"Policy evaluation is a crucial step in many reinforcement-learning procedures, which estimates a value function that predicts states' long-term value under a given policy.",BACKGROUND
"The first is based on CapsNet but uses a new routing algorithm to find the objects' approximate positions in the image coordinate system, and the second is a parameterized affine transformation network that can predict future positions from past positions by learning the translation transformation from 2D object coordinates generated from the first network.",METHODS
We align images locally with an optimal grid mesh generated by our GCPW method.,METHODS
"Due to frequency selective fading, wide-band CoMAC is more challenging and has never been studied before.",OBJECTIVES
"In the case of the Sentinel-1 satellites, every researcher has access to the same base dataset, and therefore independent validation is possible.",BACKGROUND
There is important evidence that the developers' engagement and their prowess to apply TFD are negatively impacted.,RESULTS
"Defining Fisher curves, we measure the variations in each component of the metric tensor when visiting different entropic states of the system.",METHODS
"Simulation results show that the derived closed-form lower bounds of DL OPs are tight, and the proposed decentralized femtocell self-regulation strategy is able to guarantee reliable DL services in targeted macro and femto service areas while providing superior spatial reuse, for even a large number of spectrum-sharing femtocells deployed per cell site.",RESULTS/CONCLUSIONS
"Due to easy implementable feature of the proposed delayed feedback tracking system, it can be used in practical applications effectively.",RESULTS
"In this paper, we propose an efficient coding scheme for the two-link binary Chief Executive Officer (CEO) problem under logarithmic loss criterion.",OBJECTIVES
"Our semi-automated analysis examines, among other things, platform access control enforcement, the rigor of non-system enforcement procedures, and the potential for misuse of routines.",METHODS
We present a method for performing hierarchical object detection in images guided by a deep reinforcement learning agent.,OBJECTIVES
"While these representations are widely used in computer vision, their prevalence in reinforcement learning is limited to sparse coding where extracting representations for new data can be computationally intensive.",BACKGROUND
"Indeed, capturing such regularities is instrumental in providing condensed representations of the event sequences.",BACKGROUND
We propose a new algorithm to the problem of polygonal curve approximation based on a multiresolution approach.,RESULTS
"Among them, genetic algorithms (GA's) shine as popular evolutionary algorithms (EA's) in engineering optimization.",BACKGROUND
Basic haptic interfacesbetween the AFM and experimentalists have already been implemented.,BACKGROUND
"However, most of the algorithms found in the literature do not scale well with large values of data dimension, so the time complexity grows exponentially in most cases, which makes these algorithms impractical.",OBJECTIVES
"Such energy based algorithms, however, are not robust to heavy quantization at the receiver.",BACKGROUND
Our results demonstrate that transferring intuitions from classical models like WFSAs can be an effective approach to designing and understanding neural models.,CONCLUSIONS
"This study is motivated by the fact that not all loop closure hypotheses are equally plausible (e.g., owing to mutual consistency between loop closure constraints) and that if we have evidence that one hypothesis is more plausible than the others, then it should be verified more frequently.",BACKGROUND
"Though exciting results of high-speed videos and hyperspectral images have been demonstrated, the poor reconstruction quality precludes SCI from wide applications.This paper aims to boost the reconstruction quality of SCI via exploiting the high-dimensional structure in the desired signal.",OBJECTIVES
"Optimal use of computing resources requires extensive coding, tuning and benchmarking.",BACKGROUND
"Over multiple cycles, the goal is to achieve a high diversity of assignments from tasks to agents.",BACKGROUND
This was done by conducting two studies based on a smaller data- set (two-dimension time sequences from non-linear functions) and a relatively large data-set (43-dimension time sequences from iCub manipulation tasks with multi-modal data).,METHODS
All the proposed method- ologies are embedded in a top-down TSV planning framework to form functional TSV groups and generate adaptive fault- tolerance structures.,OBJECTIVES/METHODS
"End-to-end models for goal-orientated dialogue are challenging to train, because linguistic and strategic aspects are entangled in latent state vectors.",BACKGROUND
"FSO, however, is sensitive to nature conditions, e.g., rain, fog, line-of-sight.",BACKGROUND
"Confusional matrices, occlusion experiments, and saliency mapping showed that the model finds recognizable similarities among related views and classifies using clinically relevant image features.",RESULTS
"Given the strategic importance of the exercise, whose results inform the allocation of a significant share of resources for the national academic system, we examined whether the predictive power of the proposed indicator is stronger than the simple citation count.",OBJECTIVES
The accurate segmentation of subcortical brain structures is crucial to the study of gliomas in that it helps the monitoring of the progression of gliomas and aids the evaluation of treatment outcomes.,OBJECTIVES
"In this paper, we intend to analyze the achievable capacity in transmission of information from one node to another in a diffusion channel.",OBJECTIVES
"In particular, it is well known that image textures constitute power visual cues for feature extraction and classification.",BACKGROUND
Confounders can cause models to generalize poorly and result in inaccurate prediction performance metrics if models are not validated thoroughly.,BACKGROUND
"Thus, the duration of replacing the batteries should be of utmost importance.",OBJECTIVES
"Estimation, recognition, and near-future prediction of 3D trajectories based on their two dimensional projections available from one camera source is an exceptionally difficult problem due to uncertainty in the trajectories and environment, high dimensionality of the specific trajectory states, lack of enough labeled data and so on.",BACKGROUND
"AlphaGo's ""supervised-learning policy network"" is a deep neural network implementation of Hotz and Miller's (1993) conditional choice probability estimation; its ""reinforcement-learning value network"" is equivalent to Hotz, Miller, Sanders, and Smith's (1994) conditional choice simulation method.",RESULTS
"As an extension, the proposed regularization technique can also be used to improve image-level deep feature embedding.",RESULTS/CONCLUSIONS
"Faster R-CNN is one of the most representative and successful methods for object detection, and has been becoming increasingly popular in various objection detection applications.",BACKGROUND
"Often caused by the cameras limited capabilities, it is common for these captured facial images to be blurred or low resolution.",BACKGROUND
"To that effect, we propose `SPARE' - an in-memory, distributed processing architecture built on ROM-embedded RAM technology, for accelerating SNNs.",OBJECTIVES
"The proposed method consists of three stages (removing noise, segmentation, classification) in order to extract the correct lesion.",METHODS
Hardware measurements on a state-of-the-art mobile processor show that our analytical formulation can predict the stable fixed point with an average error of  [NUM] %.,RESULTS
Questions were originally represented by subsets of variables.,BACKGROUND
We then integrate them into a unified solution to obtain high quality depth maps.,METHODS
"Moreover, the size of the tree is difficult to obtain and it will be different for different active sites.",OTHERS
The results also show that LSM significantly improves the convergence time of up to  [NUM] % compared to conventional learning algorithms such as Q-learning.,RESULTS
"Therefore, systematic utilization of both these types of algorithms together can lead to better prediction performance.",OBJECTIVES
"When agents are non-strategic, an agent's strategy is known to the other agents.",BACKGROUND
This paper attempts to address the problem of one-classifier-per-one-word WSD algorithms by proposing a single Bidirectional Long Short-Term Memory (BLSTM) network which by considering senses and context sequences works on all ambiguous words collectively.,OBJECTIVES/METHODS
"Given a finite set in a metric space, the topological analysis generalizes hierarchical clustering using a 1-parameter family of homology groups to quantify connectivity in all dimensions.",BACKGROUND
"Software reconfigurability of networking devices has seen wide adoption, and this in turn implies that agile control policies can be now instantiated on access networks.",BACKGROUND
GitHub is the largest source code repository in the world.,BACKGROUND
"With explosion of data size and limited storage space at a single location, data are often distributed at different locations.",BACKGROUND
This paper presents a practical approach towards implementing pathfinding algorithms on real-world and low-cost non- commercial hardware platforms.,OBJECTIVES
Variational methods are widely applied to ill-posed inverse problems for they have the ability to embed prior knowledge about the solution.,BACKGROUND
"There is a large variety of objects and appliances in human environments, such as stoves, coffee dispensers, juice extractors, and so on.",BACKGROUND
"Depending on the use of coding or noncoding DNA hosts, which, respectively, denote DNA segments that can or cannot be translated into proteins, DNA data embedding is essentially a problem of communications with or without side information at the encoder.",BACKGROUND
"In particular, we observe that all the forbidden subgraphs are variants of the subgraphs forbidden for interval graphs.",RESULTS
In this work we propose to train a triplet network by putting it as the discriminator in Generative Adversarial Nets (GANs).,METHODS
Most journals examined (n=52 out of 61) published their articles in AOP.,CONCLUSIONS
We trained the networks using the ICIAR 2018 grand challenge on BreAst Cancer Histology (BACH) dataset.,METHODS
Simulation results demonstrate that our designed reward function leads to significant performance improvement compared with existing algorithms.,RESULTS/CONCLUSIONS
"The hardware architecture of the proposed system is mainly composed of three parts: data collection, feature detection, and data transmission.",BACKGROUND
"We present a starvation free solution of this problem in a setting with infinitely many processes, each with finite memory, that communicate by asynchronous messages.",METHODS/RESULTS
We investigate and discuss serious limitations of the fourth generation (4G) cellular networks and corresponding new features of 5G networks.,OBJECTIVES
"In the asymptotic regime, the tradeoff among the exponents of the (false alarm and miss) error probabilities and the normalized expected stopping time under the alternative hypothesis is completely characterized and proved to be tight, via an information-theoretic argument.",RESULTS/CONCLUSIONS
"Finally it is noted that two important concerns are difficult to address with explanation methods: the concern about bias in datasets that leads to biased DNNs, as well as the suspicion about unfair outcomes.",CONCLUSIONS
"We compare the performance of our robust methods and their vanilla counterparts, which assume that normal traffic is stationary, on a network with a diurnal normal pattern and a common anomaly related to data exfiltration.",RESULTS
"While mathematical knowledge management (MKM) ""in the small"" is well-studied, scaling up to large, highly interconnected corpora remains difficult.",BACKGROUND/OBJECTIVES
We discuss the implications of our experiments in the context of modeling the female menstrual cycle.,CONCLUSIONS
We use a latent tree graphical model to analyze gene expression without relying on transcription factor expression as a proxy for regulator activity.,OBJECTIVES/METHODS
New acquisition technologies enable the capturing of 3D point clouds that contain color and geometrical information.,BACKGROUND
Objective: This paper analyzes the inter-rater agreement on visual aesthetics of user interfaces of Android apps as a basis for guidelines and evaluation models.,OBJECTIVES
The system achieved the second place out of four participating teams.,RESULTS
The arbitrator model is compared to exclusive deliberate planning with the internal model and exclusive habitual control instances of the model.,METHODS
"In some of the proposed protocols for this task, a client delegates her quantum computation to non-communicating servers.",BACKGROUND
"In this way, the whole curve will evolve along the inner (or outer) boundaries of object, and less likely to be stuck in the object or background.",METHODS
Numerical analyses suggest that the approximation is accurate already at SNR values of 15 dB and when the number of coherence intervals is 10 or more.,RESULTS
"To answer any query, in any given scenario, we traverse the tiling roadmap while only testing for collisions with obstacles.",METHODS
The probability that a curve matches the material boundary in the image is evaluated using a cost function based on some image properties along this curve.,METHODS
The efficiency of our method is demonstrated through qualitative results and quantitative results as far as of speed-up and instability are concerned.,CONCLUSIONS
Our comprehensive benchmark contains three data sets from the news domain and one data set from Wikipedia with overall 4522 labeled sentences and 11243 binary or n-ary OIE relations.,OBJECTIVES/METHODS
This result can also be viewed as an uncertainty principle for random sparse signals over an incoherent dictionary.,CONCLUSIONS
"In particular, these algorithms are shown to achieve order-optimal statistical error rates for strongly convex losses.",RESULTS
"To further complicate the matter, resilience is not an absolute property but rather it is the result of the match between a system, its current condition, and the environment it is set to operate in.",BACKGROUND
"Results show that people apply axial force to the screws to avoid screwdriver slippage (cam-outs), which is one of the key problems during screwing and unscrewing, and this axial force is proportional to the torque which is required for screwing.",RESULTS
The originality of this paper is that we present a method for the design of experiment that uses CATIA (CAD system) to generate the measured parts.,METHODS
This also applies to pairs of papers with several orders of magnitude differences in their total number of accumulated citations.,RESULTS
"Being able to program state machines in monoidal computers allows us to represent Turing machines, to capture their execution, count their steps, as well as, e.g., the memory cells that they use.",RESULTS
"Furthermore, the approach is easy to parallelize and therefore suitable for very large datasets.",METHODS
"In this paper, we compared five neural network (NN) architectures with various adaptation and feature normalization techniques.",OBJECTIVES
Comprehensive evaluations on two challenging pedestrian detection datasets (i.e.,RESULTS
"In this paper, we propose an algorithm for optic disk segmentation based on a local adaptive thresholding method.",OBJECTIVES
"Thus, SM, i.e., a generative model, is built as a computationally free side effect of the act of storing episodic memory traces of individual inputs, either spatial patterns or sequences.",CONCLUSIONS
"To this end, a new graphical model is proposed that affords a fast and continuous obstacle image-map estimation from a single video stream captured onboard a USV.",METHODS
A series of benchmarks have been generated during the evaluation process for technology selection.,RESULTS
"Our findings show that the stability of a network is affected by the local properties of high centrality vertices, rather than the global properties of the entire network.",METHODS
"The model allows building smooth, piecewise-linear, hybrid, minor, mirror-reflected, inverse, reverse, double and triple loops.",RESULTS/CONCLUSIONS
"Rules are able to expose label dependencies such as implications, subsumptions or exclusions in a human-comprehensible and interpretable manner.",BACKGROUND
"Here, first a population-based breathing virtual patient 4D atlas can be built and second the requirement of a dose-relevant or expensive acquisition of a 4D data set for a new static 3D patient can be mitigated by warping the mean atlas motion.",OBJECTIVES
"The use of preferences in query answering, both in traditional databases and in ontology-based data access, has recently received much attention, due to its many real-world applications.",BACKGROUND
"This was demonstrated on several datasets with different shapes, dimensions, and attributes.",RESULTS
"This work addresses the current lack of data for determining lane instances, which are needed for various driving manoeuvres.",OBJECTIVES
"In the first step, a block-based MCFLMS (bMCFLMS) algorithm is proposed to estimate the TRFs and the PSF which are used in the second step to estimate the missing data.",METHODS
We derive theoretical results that justify how CLEMS achieves the desired cost-sensitivity.,RESULTS/CONCLUSIONS
The probability of failure is doubly-exponentially small in the blocklength.,METHODS/RESULTS
The model utilizes convolutional neural networks with backpropagation for error reduction and dropout for data overfitting.,METHODS
"As a result, iterative polar decoding can then be conducted on a sparse graph, akin to the traditional well-established LDPC decoding, e.g., using a fully parallel sum-product algorithm (SPA).",RESULTS
We explore ways to manage interference in large networks with delay and power constraints.,OBJECTIVES
"It is shown that each program corresponds to an essentially unique irreducible tree, which in turn is assigned a predicate lifting, serving as the program's interpretation.",METHODS/RESULTS
"Evaluating the trapezium of back-EMF is needed, and is done via a sliding mode observer employing just one measurement of stator current.",METHODS
"This paper attempts to eliminate this dis-connection by proposing loss functions for click modeling that are based on final auction performance.In this paper, we address two feasible metrics (AUC^R and SAUC) to evaluate the on-line RPM (revenue per mille) directly rather than the CTR.",OBJECTIVES/METHODS
"From experimental results, it can be observed that Penalized Fuzzy C-Means algorithm shows a much higher usability than the other projected clustering algorithms used in our comparison study.",RESULTS
"The approach operates directly in the parameter-space of echo locations and weights, and enables near-exact blind and off-grid echo retrieval from discrete-time measurements.",METHODS
"On the other hand, despite recent progress in machine learning, modern algorithms still fall short of human segmentation performance.",OBJECTIVES
We compare the performance of the non-linear model against the classical process convolution approach in one synthetic dataset and two real datasets.,BACKGROUND/RESULTS
"To this end, we propose a neural network architecture equipped with copy actions that learns to generate single-sentence and comprehensible textual summaries from Wikidata triples.",CONCLUSIONS
Each of the proposed strategies requires small computational and communicational overheads.,RESULTS
MedGAN builds upon recent advances in the field of generative adversarial networks(GANs) by combining the adversarial framework with a unique combination of non-adversarial losses which captures the high and low frequency components of the desired target modality.,METHODS
We propose the neural programmer-interpreter (NPI): a recurrent and compositional neural network that learns to represent and execute programs.,OBJECTIVES
This cost can be thought of as an additional effort from the teaching staff if they had to finally take a look at the corrected papers post peer grading.,METHODS
"While DPD can effectively suppress unwanted spurious spectrum emissions stemming from imperfections of analog RF and baseband electronics, it also introduces extra processing complexity and poses challenges on efficient and flexible implementations, especially for mobile cellular transmitters, considering their limited computing power compared to basestations.",BACKGROUND
"Given n red and n blue points in general position in the plane, it is well-known that there is a perfect matching formed by non-crossing line segments.",BACKGROUND
"The importance of Goodhart effects depends on the amount of power directed towards optimizing the proxy, and so the increased optimization power offered by artificial intelligence makes it especially critical for that field.",RESULTS
The methods can be generalized to other research areas and ultimately support a system for semi-automatic identification of argument structures.,CONCLUSIONS
We implemented a proof-of-concept of our policy as browser extensions for Mozilla Firefox and Google Chrome.,METHODS
"Furthermore, we conjecture that (c) test case prioritization and (d) static warning identification can also be categorized as the total recall problem.",RESULTS
"The signs of social ties -friendships and enmities- evolve seeking for social balance, taking into account how similar agents' opinions are.",METHODS
"Nowadays, a hot challenge for supermarket chains is to offer personalized services for their customers.",BACKGROUND
"In order to increase accuracy of detection and reduce the error of volume estimation in food calorie estimation, we present our calorie estimation method in this paper.",OBJECTIVES
We provide two applications of this notion.,RESULTS
It is well understood that Gaussian chirplet function is critical in describing chirp signals.,BACKGROUND
Our framework takes a step towards automatic tuning of the hyper-parameters thereby making our method better suited for the mixture to be separated and thus practically more useful.,METHODS
"Over the past few years, mobile operators are faced with enormous challenges.",BACKGROUND
"We describe an adaptation and application of a search-based structured prediction algorithm ""Searn"" to unsupervised learning problems.",OBJECTIVES
"We propose a repeated game formulation of these interactions, allowing for the design of inter-temporal incentives (i.e., conditioning future cooperation on the history of past interactions).",METHODS
Practical implementations of the MOMA principle are provided for base stations (BSs) that are equipped with a large number of antenna elements.,RESULTS
"We study the stable marriage problem in the partial information setting where the agents, although they have an underlying true strict linear order, are allowed to specify partial orders.",OBJECTIVES
Any modification on the stored data will result in updating the content of the storage nodes.,BACKGROUND
"To build Decima, we had to develop new representations for jobs' dependency graphs, design scalable RL models, and invent RL training methods for dealing with continuous stochastic job arrivals.",METHODS
"We provide a concrete instantiation of our L2P framework for STAR, a state-of-the-art graph query reasoner.",METHODS
"The non-algorithmic factors include speculative execution, nodes with poor performance, data locality & distribution of data blocks, and parallelism control with input split size.",METHODS
"Second, we show that computing an approximate solution to the clearing problem with sufficiently small constant error is PPAD-complete.",RESULTS
An active learner aims to obtain a model of high accuracy with as few labeled instances as possible by effectively selecting useful examples for labeling.,OBJECTIVES
"Instead of achieving seamlessness by eliminating these technical issues, we thus choose to advocate the use of a seamful approach, i.e. to reveal and exploit these problems and turn them into a part of the actual experience.",OBJECTIVES
Recommender systems benefit us in tackling the problem of information overload by predicting our potential choices among diverse niche objects.,BACKGROUND
"Since generative networks are very adaptive and can utilize a diverse set of parameters (pertaining to the appearance of the generated output in terms of facial expressions, gender, race, etc.",METHODS
"It was recently demonstrated in several related papers, that such ensembles of cycles naturally parameterise many other conformally-invariant objects, e.g. loxodromes or continued fractions.",BACKGROUND
This is naturally interpreted as a Kalman filter with multiple interacting state space vectors.,OTHERS
"In this work, we fill this gap by introducing a new model of network growth that allows us to compare the properties of the networks generated under the influence of different ranking algorithms.",OBJECTIVES/METHODS
"We propose novel model transfer-learning methods that refine a decision forest model M learned within a ""source"" domain using a training set sampled from a ""target"" domain, assumed to be a variation of the source.",BACKGROUND/OBJECTIVES
"Thus, simpler models consisting of only the dominant subsystems can be assembled into hybrid, piecewise smooth models, which approximate the behavior of the initial system.",METHODS
"We propose to combine ontology visualizations with contextual ontology verbalizations of selected ontology (diagram) elements, displaying controlled natural language (CNL) explanations of OWL axioms corresponding to the selected visual notation elements.",OBJECTIVES/METHODS
"In contrast, automated analysis of EEG data offers the potential to improve the quality of patient care by shortening the time to diagnosis and reducing manual error.",BACKGROUND
"A better solution to tackle these two critical problems is to train object detectors from scratch, which motivates our proposed DSOD.",OBJECTIVES
"As compared to existing state-of-the-art packet scheduling proposals, Slytherin achieves  [NUM] % lower 99th percentile flow completion times for short flows without any loss of throughput.",RESULTS
"However, the fact that soft attention mechanisms perform a pass over the entire input sequence when producing each element in the output sequence precludes their use in online settings and results in a quadratic time complexity.",BACKGROUND
"Accordingly, in this paper a method which adds secrecy to this well-known source code is proposed.",OBJECTIVES
"We argue that existing studies, while useful, fail to address a key aspect of mobile application usage - initial impression and discoverability-driven usability.",OBJECTIVES
"The architecture of ConvNets demands the huge and rich amount of data and involves with a vast number of parameters that leads the learning takes to be computationally expensive, slow convergence towards the global minima, trap in local minima with poor predictions.",BACKGROUND
"Evolution is, thus, a simple method to effectively discover high-quality architectures.",CONCLUSIONS
"On a large dataset, we achieve significant improvements in both accuracy and inference time over the previous state of the art.",RESULTS
"This paper reviews the most relevant approaches to MAP, putting the focus on the solvers that took part in the 2015 Competition of Distributed and Multi-Agent Planning, and classifies them according to their key features and relative performance.",METHODS
The complexity of SimplE grows linearly with the size of embeddings.,METHODS
"Due to the popularity of map-based applications among the users, the service provider often requires to answer a large number of simultaneous queries.",BACKGROUND
The minimal amount of data needed to preserve robust driver clustering is also computed.,OTHERS
"An important feature of our architecture is its ability to specify path and flow based security policies, which are significant for securing end to end services in SDNs.",OBJECTIVES
Policy gradient methods have enjoyed great success in deep reinforcement learning but suffer from high variance of gradient estimates.,BACKGROUND
These systems lead the scientific community to react.,RESULTS/CONCLUSIONS
"In this paper, a novel local dynamic pitch probability distribution feature, which is obtained by drawing the histogram, is proposed to improve the accuracy of speech emotion recognition.",METHODS
We also quantify the inefficiencies at micro-architecture level for various data analysis workloads.,OBJECTIVES
We then propose a sequential algorithm for case-control matching on this representation space of diagnosis codes.,METHODS
Bondarenko in 1983.,OTHERS
The reconstruction matrix generated by using this technique is block-diagonal and can be used for clustering (using spectral clustering) and embedding.,METHODS
"This paper first describes an `obfuscating' compiler technology developed for encrypted computing, then examines if the trivial case without encryption produces much-sought indistinguishability obfuscation.",BACKGROUND/OBJECTIVES
"Graph topology was found to be an important predictor of loan profitability, explaining over  [NUM] % of variability.",RESULTS
"In particular, we examine the case where only an upper bound on the number of anomalous processes is known.",BACKGROUND
"In addition, we analyze universality, consistency and spectral filtering properties.",RESULTS
"We draw tools and concepts from term rewriting, Boolean function theory and graph theory in order to access some required intermediate results.",OBJECTIVES/METHODS/RESULTS/CONCLUSIONS
"If a sequence of experiments is to be performed, experimental design is needed to determine the order.",BACKGROUND
Predictive method-Naive Bayesian classifier and Machine learning Algorithm - Pearson correlation coefficient method were implemented respectively for materials classification and selection.,METHODS
"As a result, R-STDP outperformed STDP on these datasets.",RESULTS
"Our method is computationally tractable thanks to the addition of an entropic regularization to the usual optimal transportation problem, leading to an approximation scheme that is efficient, parallel and simple to differentiate.",METHODS
NIH FIJI/ImageJ tools are used to create the ground truth dataset.,BACKGROUND
Medical data bases are high volume in nature.,BACKGROUND
Our proposed framework offers a handy algorithm that enjoys desirable complexity for real-time applications as shown by the extensive simulation results.,RESULTS/CONCLUSIONS
The abstraction tasks are challenging for multi- modal sequences as they require a deeper semantic understanding and a novel text generation for the data.,BACKGROUND
"By incorporating census and openly-available online multi-modal transport data, we are able to characterise the connectivity of geometrically and topologically complex cities.",METHODS/RESULTS
"We demonstrate the relevance of the proposed deep learning framework on real AIS datasets for a three-task setting, namely trajectory reconstruction, anomaly detection and vessel type identification.",RESULTS
Our results will help to understand the existence of complex systems and mechanisms of self-organization.,OBJECTIVES/RESULTS
"It comprises of an Extended Kalman Filter that tracks the calibration of the wheel encoders as state variables, and a measurement pre-processing stage called Sensor Consensus Analysis (SCA) that scales the uncertainty of a measurement based on how consistent it is with the measurements of the other sensors.",METHODS
"To this end, available methods for the design and verification of automated vehicle controllers have to be supported by models for hazard analysis and mitigation.",OBJECTIVES
"In this paper, we propose a neural system combination framework leveraging multi-source NMT, which takes as input the outputs of NMT and SMT systems and produces the final translation.",METHODS
"In this way, the determination of the S.D.o.F. region is reduced to a problem of maximizing the S.D.o.F. pair over the proposed transmission scheme.",METHODS
"Despite their good performance in downstream processes (e.g., node classification, link prediction), there is still room for improvement in different aspects, like efficacy, visualization, and interpretability.",BACKGROUND
We perform a complexity analysis to show that the proposed algorithm has polynomial complexity.,RESULTS
These algorithms are compared to a new one that solves a fixed point problem by using deep learning techniques.,METHODS
"Technically, our canvas is represented as an array of deep octrees of depth 24 or higher, built on CPU for volume painting and on GPU for volume rendering using accurate ray casting.",METHODS
During decoding shares are combined to regenerate the authenticated image from where the secret message/image is obtained through the same hash function along with reduction of noise.,METHODS
Spreadsheets that are informally created are harder to test than they should be.,BACKGROUND/CONCLUSIONS
"By taking fairness into account, we propose a sum logarithmic secrecy rate maximization beamforming design problem under the interference constraints for MUs and energy harvesting (EH) constraints for ER FUs.",OBJECTIVES
"Our method consists in building a fixed-size ensemble, optimizing the configuration of one classifier of the ensemble at each iteration of the hyperparameter optimization algorithm, taking into consideration the interaction with the other models when evaluating potential performances.",METHODS
"SGAN assumes the data x is generated conditioned on two independent latent variables: y that encodes the designated semantics, and z that contains other factors of variation.",METHODS
"In addition, to tackle the task of VSSIS, we augment the DAVIS-2017 benchmark dataset by assigning semantic ground-truth for salient instance labels, obtaining SEmantic Salient Instance Video (SESIV) dataset.",OBJECTIVES
This novel dataset allows for testing the robustness of robot visual recognition algorithms to a series of different domain shifts both in isolation and unified.,METHODS
"The paper aims to show how an application can be developed that converts the English language into the Punjabi Language, and the same application can convert the Text to Speech(TTS) i.e. pronounce the text.",OBJECTIVES
The model is class-specific and allows an agent to focus attention on candidate regions for identifying the correct location of a target object.,METHODS
Our method utilizes both high level and low level features for saliency detection under a unified deep learning framework.,METHODS
"In brief, the web platform enabled us to extend the learning that took place in the design studio beyond the studio hours, to represent the design information in novel ways and allocate multiple communication forms.",RESULTS
We evaluate the proposed cDCGAN method on BCI competition dataset of motor imagery.,METHODS
"We show that our timespace method is restricted by a minimum timestep size, which is due to the growth of numerical perturbations.",RESULTS
"This paper deals with the indigenization of FLC (Fuzzy Logic Controller) based Washing Machine, which is capable of automating the inputs and getting the desired output (wash-time).",CONCLUSIONS
"By exploiting an approximate orthogonality condition characterized via the achievable angles between two orthogonal sparse vectors upon compression, this paper shows that the upper bound on delta can be further relaxed to delta_K+1<(sqrt(1+4*delta_K+1)-1)/(2K).This result thus narrows the gap between the so far best known bound and the ultimate performance guarantee delta_K+1<1/(sqrt(delta_K+1)) that is conjectured by Dai and Milenkovic in 2009.",METHODS/RESULTS/CONCLUSIONS
"They contribute to the understanding of networks and their components by analyzing their structural properties, which makes them useful in several computer science domains and applications.",BACKGROUND
"Since the combined number of messages and subsets grows only exponentially with the blocklength, SS for the WTC II is established by using the union bound and invoking the stronger soft-covering lemma.",METHODS
"We show that these ultra-fine types can be crowd-sourced, and introduce new evaluation sets that are much more diverse and fine-grained than existing benchmarks.",RESULTS
"We manually construct a corpus of detailed explanations for nearly all publicly available standardized elementary science question (approximately 1,680 3rd through 5th grade questions) and represent these as ""explanation graphs"" -- sets of lexically overlapping sentences that describe how to arrive at the correct answer to a question through a combination of domain and world knowledge.",METHODS
The latter involves making AI more human-like and having it develop a theory of our minds.,BACKGROUND
We provide analytical bounds on the running time of the algorithm and prove approximation guarantee for our score computation.,RESULTS
However these images are very large and manual analysis is error prone and very time consuming.,BACKGROUND
"Therefore, the emergence of cooperative behavior amongst self-interested individuals is an important question for the fields of multi-agent reinforcement learning (MARL) and evolutionary theory.",OBJECTIVES
We use non-negative matrix factorization for localization and propose simple heuristics for cluster mapping.,METHODS
The ice-ocean model NEMO-LIM3 was modified to improve its simulation quality for appropriate spatio-temporal resolutions.,RESULTS
"Our hypothesis is that, in the absence of a good model of the data generation process, it is better to learn the features from data, instead of using hand-crafted features that have no resemblance to the signature generation process.",OBJECTIVES
A domain critic module (DCM) is set up for discriminating the feature space of both domains.,METHODS
We investigate the zero-one laws for the property that there are no isolated nodes.,METHODS
The computer used during the development of this study was classified as notebook and laptop with the proximities of  [NUM] % and  [NUM] % respectfully.,RESULTS
A training strategy combining a regression loss and a segmentation loss is proposed in order to better approximate the discontinuous saturation field.,METHODS
The back-propagation algorithm is widely used for learning in artificial neural networks.,BACKGROUND
"As a whole, the data and analyses presented here provide a starting-place for further critical reflection on the evolution of the history of biology over the past half-century.",OTHERS
